HGNC ID	Approved symbol	Status	Previous symbols	Alias symbols	Chromosome	Accession numbers	RefSeq IDs	Enzyme IDs	NCBI Gene ID	Ensembl gene ID	Mouse genome database ID	Locus type
HGNC:24235	CD200R1	Approved	MOX2R	OX2R, HCRTR2, CD200R	3q13.2	AK126349	NM_138806		131450	ENSG00000163606	MGI:1889024, MGI:3042847, MGI:1921853, MGI:3036289	gene with protein product
HGNC:24665	CD200R1L	Approved		CD200RLa, CD200R2	3q13.2	AY284976	NM_001008784		344807	ENSG00000206531	MGI:1889024, MGI:3042847, MGI:1921853, MGI:3036289	gene with protein product
HGNC:54071	CD200R1L-AS1	Approved			3q13.2		NR_149026		100129297	ENSG00000242770		RNA, long non-coding
HGNC:56477	CD200R1P1	Approved			3q13.2					ENSG00000289742		pseudogene
HGNC:17935	CD207	Approved		Langerin, CLEC4K	2p13.3	AJ242859	NM_015717		50489	ENSG00000116031	MGI:2180021	gene with protein product
HGNC:1641	CD209	Approved		DC-SIGN, hDC-SIGN, CDSIGN, DC-SIGN1, CLEC4L	19p13.2	M98457	NM_021155		30835	ENSG00000090659	MGI:1916415, MGI:2157942, MGI:2157945, MGI:2157947, MGI:2157948	gene with protein product
HGNC:16961	CD226	Approved		DNAM-1, DNAM1, PTA1, TLiSA1	18q22.2	U56102	NM_006566		10666	ENSG00000150637	MGI:3039602	gene with protein product
HGNC:18171	CD244	Approved		2B4, NAIL, NKR2B4, Nmrk, SLAMF4	1q23.3	AF105261	NM_016382		51744	ENSG00000122223	MGI:109294	gene with protein product
HGNC:1677	CD247	Approved	CD3Z	CD3H, CD3Q, TCRZ, CD3-ZETA, CD3ZETA	1q24.2	BC025703	NM_198053		919	ENSG00000198821	MGI:88334	gene with protein product
HGNC:18219	CD248	Approved	CD164L1	TEM1	11q13.2	AF279142	NM_020404		57124	ENSG00000174807	MGI:1917695	gene with protein product
HGNC:17635	CD274	Approved	PDCD1LG1	B7-H, B7H1, PD-L1, PDL1, B7-H1	9p24.1	AF177937	NM_014143		29126	ENSG00000120217	MGI:1926446	gene with protein product
HGNC:19137	CD276	Approved		B7-H3, B7H3, B7RP-2	15q24.1	AF302102	NM_025240		80381	ENSG00000103855	MGI:2183926	gene with protein product
HGNC:19319	CD300A	Approved		Irp60, CMRF35H, CMRF-35-H9, IRC1, IRC2, IGSF12	17q25.1	BC032352	NM_007261		11314	ENSG00000167851	MGI:2443411	gene with protein product
HGNC:19320	CD300C	Approved		CMRF35, LIR, CMRF-35A, CMRF35A, IGSF16	17q25.1	BC022279	NM_006678		10871	ENSG00000167850	MGI:2153249, MGI:3032626	gene with protein product
HGNC:28874	CD300E	Approved	CD300LE	IREM2, CLM2	17q25.1	BX648376	NM_181449		342510	ENSG00000186407	MGI:2387602	gene with protein product
HGNC:52292	CD300H	Approved			17q25.1				100130520	ENSG00000284690		gene with protein product
HGNC:30811	CD300LB	Approved		TREM5, CLM7	17q25.1	AF427618	NM_174892		124599	ENSG00000178789	MGI:2685099	gene with protein product
HGNC:16848	CD300LD	Approved		CMRF35A4, CD300D	17q25.1		NM_001115152		100131439	ENSG00000204345	MGI:2442358, MGI:2687214, MGI:3702658, MGI:3702661	gene with protein product
HGNC:26480	CD300LD-AS1	Approved	C17orf77	FLJ31882	17q25.1		NR_171003		146723	ENSG00000182352		RNA, long non-coding
HGNC:29883	CD300LF	Approved		IREM1, NKIR, IGSF13, CD300f, CLM1	17q25.1	BC028199	NM_139018		146722	ENSG00000186074	MGI:2442359	gene with protein product
HGNC:30455	CD300LG	Approved		Trem4, CLM9	17q21.31	BC025395	NM_145273		146894	ENSG00000161649	MGI:1289168	gene with protein product
HGNC:30843	CD302	Approved		DCL-1, KIAA0022, BIMLEC, CLEC13A	2q24.2	AY314007	NM_014880		9936	ENSG00000241399	MGI:1913455	gene with protein product
HGNC:16692	CD320	Approved		8D6, 8D6A, TCblR, TCN2R, sCD320, TCII-R	19p13.2	AF161254	NM_016579		51293	ENSG00000167775	MGI:1860083	gene with protein product
HGNC:1712	CDA	Approved		CDD	1p36.12	BC054036	NM_001785	3.5.4.5	978	ENSG00000158825	MGI:1919519	gene with protein product
HGNC:20299	CDADC1	Approved		NYD-SP15	13q14.2	AY027525	NM_030911		81602	ENSG00000102543	MGI:1919141	gene with protein product
HGNC:1713	CDAN1	Approved		CDA-I, CDAI	15q15.2	AF525398	NM_138477		146059	ENSG00000140326	MGI:1916218	gene with protein product
HGNC:1714	CDAN2	Symbol Withdrawn		CDA-II, CDAII, HEMPAS	20q11.2							phenotype only
HGNC:1715	CDAN3	Entry Withdrawn		CDAIII	15q21-q25							phenotype only
HGNC:1716	CDB2	Entry Withdrawn		CDTB	10q23-q24							phenotype only
HGNC:1731	CDC2L3	Symbol Withdrawn										unknown
HGNC:1732	CDC2L4	Symbol Withdrawn										unknown
HGNC:1743	CDC5L	Approved		PCDC5RP, hCDC5, CEF1, CDC5	6p21.1	D85423			988	ENSG00000096401	MGI:1918952	gene with protein product
HGNC:1744	CDC6	Approved	CDC18L		17q21.2	U77949			990	ENSG00000094804	MGI:1345150	gene with protein product
HGNC:1745	CDC7	Approved	CDC7L1	Hsk1, huCdc7, HsCdc7	1p22.1	AF015592	NM_003503		8317	ENSG00000097046	MGI:1309511	gene with protein product
HGNC:1718	CDC14A	Approved	DFNB32	Cdc14A1, Cdc14A2, cdc14, DFNB105	1p21.2	AF000367	NM_033312		8556	ENSG00000079335	MGI:2442676	gene with protein product
HGNC:1719	CDC14B	Approved		Cdc14B1, Cdc14B2, CDC14B3, hCDC14B	9q22.32-q22.33	AF023158	NM_033331		8555	ENSG00000081377	MGI:2441808	gene with protein product
HGNC:22427	CDC14C	Approved		MGC26484, CDC14B2, CDC14Bretro, CDC14CP	7p12.3	BC028690	NM_152627		168448	ENSG00000218305		gene with protein product
HGNC:1720	CDC16	Approved		APC6, ANAPC6, CUT9	13q34	U18291	NM_003903		8881	ENSG00000130177	MGI:1917207	gene with protein product
HGNC:1721	CDC18L	Symbol Withdrawn										unknown
HGNC:1723	CDC20	Approved		p55CDC, CDC20A	1p34.2	U05340	NM_001255		991	ENSG00000117399	MGI:1859866	gene with protein product
HGNC:55681	CDC20-DT	Approved			1p34.2				105378687	ENSG00000234694		RNA, long non-coding
HGNC:24222	CDC20B	Approved		FLJ37927	5q11.2	AB086378	NM_152623		166979	ENSG00000164287	MGI:3644472	gene with protein product
HGNC:29487	CDC20P1	Approved	CDC20P	OTTHUMG00000020142	9q21.33		NG_001560		157956	ENSG00000231007		pseudogene
HGNC:1724	CDC23	Approved		APC8, ANAPC8, CUT23	5q31.2	AF053977			8697	ENSG00000094880	MGI:1098815	gene with protein product
HGNC:1725	CDC25A	Approved			3p21.31	M81933	NM_001789	3.1.3.48	993	ENSG00000164045	MGI:103198	gene with protein product
HGNC:1726	CDC25B	Approved			20p13		NM_021874	3.1.3.48	994	ENSG00000101224	MGI:99701	gene with protein product
HGNC:1727	CDC25C	Approved	CDC25	PPP1R60	5q31.2	M34065		3.1.3.48	995	ENSG00000158402	MGI:88350	gene with protein product
HGNC:17839	CDC26	Approved	C9orf17	APC12, ANAPC12	9q32	AF503918	NM_139286		246184	ENSG00000176386	MGI:1913690	gene with protein product
HGNC:22770	CDC26P1	Approved	CDC26P	TCAG_1970866	7q32.1		NG_011774		729948	ENSG00000238072		pseudogene
HGNC:1728	CDC27	Approved	D0S1430E, D17S978E	APC3, ANAPC3, NUC2	17q21.32	U00001			996	ENSG00000004897	MGI:102685	gene with protein product
HGNC:38091	CDC27P1	Approved			2q21.2				647696	ENSG00000233786		pseudogene
HGNC:38092	CDC27P2	Approved			Yp11.2				100130277	ENSG00000237447		pseudogene
HGNC:51754	CDC27P3	Approved			20q11.1				102723416	ENSG00000283005		pseudogene
HGNC:51753	CDC27P4	Approved			20q11.21				102723498			pseudogene
HGNC:51755	CDC27P5	Approved			20q11.21				647654			pseudogene
HGNC:51756	CDC27P6	Approved			14p11.2				649620			pseudogene
HGNC:51757	CDC27P7	Approved			22p11.2				102723711			pseudogene
HGNC:51758	CDC27P8	Approved			22p11.2				100288806			pseudogene
HGNC:51759	CDC27P9	Approved			21p11.2				102723570			pseudogene
HGNC:51760	CDC27P10	Approved			21p11.2				102723584			pseudogene
HGNC:51761	CDC27P11	Approved			21p11.2				102723603			pseudogene
HGNC:1734	CDC34	Approved		E2-CDC34, UBE2R1, UBC3	19p13.3	L22005	NM_004359		997	ENSG00000099804	MGI:102657	gene with protein product
HGNC:1735	CDC37	Approved		P50CDC37	19p13.2	U63131	NM_007065		11140	ENSG00000105401	MGI:109531	gene with protein product
HGNC:17179	CDC37L1	Approved		HARC, FLJ20639, CDC37B	9p24.1	AK000497	NM_017913		55664	ENSG00000106993	MGI:1914322	gene with protein product
HGNC:49735	CDC37L1-DT	Approved	CDC37L1-AS1		9p24.1	CK820219	NR_121597		101929351	ENSG00000273061		RNA, long non-coding
HGNC:34406	CDC37P1	Approved		A-761H5.2	16p11.2		NG_009463		390688	ENSG00000259982		pseudogene
HGNC:35453	CDC37P2	Approved			16p12.1		NG_009466		647015	ENSG00000261089		pseudogene
HGNC:17350	CDC40	Approved		PRP17, EHB3, PRPF17, FLJ10564	6q21	AF015044	NM_015891		51362	ENSG00000168438	MGI:1918963	gene with protein product
HGNC:1736	CDC42	Approved		G25K, CDC42Hs	1p36.12	BC018266	NM_001791		998	ENSG00000070831	MGI:106211	gene with protein product
HGNC:54314	CDC42-AS1	Approved			1p36.12				112268223	ENSG00000285752		RNA, long non-coding
HGNC:41317	CDC42-IT1	Approved			1p36.12					ENSG00000230068		RNA, long non-coding
HGNC:1737	CDC42BPA	Approved		MRCKA, PK428, FLJ23347, KIAA0451, MRCKalpha	1q42.13	U59305	NM_014826		8476	ENSG00000143776	MGI:2441841	gene with protein product
HGNC:1738	CDC42BPB	Approved		MRCKB, KIAA1124	14q32.32	AF128625	NM_006035		9578	ENSG00000198752	MGI:2136459	gene with protein product
HGNC:29829	CDC42BPG	Approved		HSMDPKIN, MRCKgamma, DMPK2, kappa-200	11q13.1	AY648038	NM_017525		55561	ENSG00000171219	MGI:2652845	gene with protein product
HGNC:17014	CDC42EP1	Approved		MSE55, CEP1, Borg5	22q13.1	M88338	NM_152243		11135	ENSG00000128283	MGI:1929763	gene with protein product
HGNC:16263	CDC42EP2	Approved		CEP2, BORG1	11q13.1	AF098290	NM_006779		10435	ENSG00000149798	MGI:1929744	gene with protein product
HGNC:16943	CDC42EP3	Approved		CEP3, UB1, BORG2	2p22.2	AF094521	NM_006449		10602	ENSG00000163171	MGI:2384718	gene with protein product
HGNC:56370	CDC42EP3-AS1	Approved		AC006369.1	2p22.2					ENSG00000236213		RNA, long non-coding
HGNC:49673	CDC42EP3P1	Approved			19p12				100128845	ENSG00000268992		pseudogene
HGNC:17147	CDC42EP4	Approved		CEP4, KAIA1777, BORG4, MGC3740, MGC17125	17q25.1	AB042237	NM_012121		23580	ENSG00000179604	MGI:1929760	gene with protein product
HGNC:17408	CDC42EP5	Approved		CEP5, Borg3	19q13.42	BC024327	NM_145057		148170	ENSG00000167617	MGI:1929745	gene with protein product
HGNC:16339	CDC42P1	Approved		bK3216D2.3	20q11.22	AL356299			170503	ENSG00000234933		pseudogene
HGNC:33952	CDC42P2	Approved			7p11.2				643336	ENSG00000234844		pseudogene
HGNC:44427	CDC42P3	Approved			8q24.3				100128627	ENSG00000253971		pseudogene
HGNC:44428	CDC42P4	Approved			4q25				100131440	ENSG00000249965		pseudogene
HGNC:44429	CDC42P5	Approved			5q35.1				100507354	ENSG00000253439		pseudogene
HGNC:44430	CDC42P6	Approved			4p15.2				643751	ENSG00000237350		pseudogene
HGNC:56410	CDC42P7	Approved			3p22.2				101409262	ENSG00000237982		pseudogene
HGNC:17719	CDC42SE1	Approved		SCIP1, SPEC1	1q21.3	AF187845	NM_020239		56882	ENSG00000197622	MGI:1889510	gene with protein product
HGNC:18547	CDC42SE2	Approved		FLJ21967, SPEC2	5q31.1	AF189692	NM_020240		56990	ENSG00000158985	MGI:1919979	gene with protein product
HGNC:1739	CDC45	Approved	CDC45L2, CDC45L		22q11.21	AF053074	NM_003504		8318	ENSG00000093009	MGI:1338073	gene with protein product
HGNC:1740	CDC45L2	Symbol Withdrawn										unknown
HGNC:1741	CDC46	Symbol Withdrawn										unknown
HGNC:16783	CDC73	Approved	C1orf28, HRPT2, HRPT1	parafibromin, FIHP	1q31.2	AF312865	NM_024529		79577	ENSG00000134371	MGI:2384876	gene with protein product
HGNC:16827	CDC123	Approved	C10orf7	D123	10p14-p13	BC001600	NM_006023		8872	ENSG00000151465	MGI:2138811	gene with protein product
HGNC:14623	CDCA2	Approved		Repo-Man, PPP1R81	8p21.2	BG354575	NM_152562		157313	ENSG00000184661	MGI:1919787	gene with protein product
HGNC:14624	CDCA3	Approved		TOME-1, GRCC8	12p13.31	BG354576	NM_031299		83461	ENSG00000111665	MGI:1315198	gene with protein product
HGNC:56264	CDCA3P1	Approved		lncCDCA3L	7p14.1					ENSG00000225314		pseudogene
HGNC:14625	CDCA4	Approved		FLJ20764, Hepp	14q32.33	BG354577	NM_145701		55038	ENSG00000170779	MGI:1919213	gene with protein product
HGNC:49770	CDCA4P1	Approved			9p22.3		NG_023874		100420502	ENSG00000229029		pseudogene
HGNC:49771	CDCA4P2	Approved			1p22.3		NG_008469			ENSG00000224466		pseudogene
HGNC:49772	CDCA4P3	Approved			1q32.2		NG_027199		100420558	ENSG00000226289		pseudogene
HGNC:49773	CDCA4P4	Approved			1q32.2		NG_008470			ENSG00000234219		pseudogene
HGNC:14626	CDCA5	Approved			11q13.1	BG354578	NM_080668		113130	ENSG00000146670	MGI:1915099	gene with protein product
HGNC:14627	CDCA6	Symbol Withdrawn	CDCA6		reserved							unknown
HGNC:14628	CDCA7	Approved		FLJ14736, JPO1	2q31.1	BG354580	NM_031942		83879	ENSG00000144354	MGI:1914203	gene with protein product
HGNC:30777	CDCA7L	Approved		RAM2, R1, JPO2	7p15.3		NM_018719		55536	ENSG00000164649	MGI:2384982	gene with protein product
HGNC:56918	CDCA7P1	Approved			6p22.1		NG_022350		442172	ENSG00000270935		pseudogene
HGNC:56919	CDCA7P2	Approved			9q21.13		NG_021625		100129601	ENSG00000235707		pseudogene
HGNC:14629	CDCA8	Approved		FLJ12042, MESRGP, BOR, DasraB	1p34.3	BG354581	NM_018101		55143	ENSG00000134690	MGI:1196274	gene with protein product
HGNC:1746	CDCL1	Symbol Withdrawn										unknown
HGNC:24357	CDCP1	Approved		CD318, SIMA135	3p21.31	AF468010	NM_022842		64866	ENSG00000163814	MGI:2442010	gene with protein product
HGNC:27297	CDCP2	Approved			1p32.3		NM_201546		200008	ENSG00000157211	MGI:3045328	gene with protein product
HGNC:1747	CDG1	Symbol Withdrawn										unknown
HGNC:1748	CDH1	Approved	UVO	uvomorulin, CD324	16q22.1	L08599	NM_004360		999	ENSG00000039068	MGI:88354	gene with protein product
HGNC:1759	CDH2	Approved	NCAD	CDHN, CD325	18q12.1	S42303	NM_001792		1000	ENSG00000170558	MGI:88355	gene with protein product
HGNC:1762	CDH3	Approved		CDHP, PCAD	16q22.1	X63629	NM_001793		1001	ENSG00000062038	MGI:88356	gene with protein product
HGNC:56084	CDH3-AS1	Approved			16q22.1					ENSG00000260577		RNA, long non-coding
HGNC:1763	CDH4	Approved		R-CAD	20q13.33	L34059	NM_001794		1002	ENSG00000179242	MGI:99218	gene with protein product
HGNC:1764	CDH5	Approved		7B4, CD144	16q21	X79981	NM_001795		1003	ENSG00000179776	MGI:105057	gene with protein product
HGNC:1765	CDH6	Approved			5p13.3	D31784	NM_004932		1004	ENSG00000113361	MGI:107435	gene with protein product
HGNC:1766	CDH7	Approved			18q22.1	AB035301	NM_033646		1005	ENSG00000081138	MGI:2442792	gene with protein product
HGNC:1767	CDH8	Approved			16q21	L34060	NM_001796		1006	ENSG00000150394	MGI:107434	gene with protein product
HGNC:55399	CDH8-AS1	Approved			16q21					ENSG00000260115		RNA, long non-coding
HGNC:1768	CDH9	Approved			5p14.1	AB035302	NM_016279		1007	ENSG00000113100	MGI:107433	gene with protein product
HGNC:1749	CDH10	Approved			5p14.2-p14.1	AF039747	NM_006727		1008	ENSG00000040731	MGI:107436	gene with protein product
HGNC:1750	CDH11	Approved		OB, CAD11	16q21	D21255	NM_033664		1009	ENSG00000140937	MGI:99217	gene with protein product
HGNC:1751	CDH12	Approved		Br-cadherin, CDHB	5p14.3	L33477	NM_004061		1010	ENSG00000154162	MGI:109503	gene with protein product
HGNC:37698	CDH12P1	Approved			5q13.2		NG_007328.2		100093625	ENSG00000254335		pseudogene
HGNC:1752	CDH12P2	Approved	CDH12P	C41-CAD	5q13.2	AC004999			1011	ENSG00000249230		pseudogene
HGNC:37699	CDH12P3	Approved			5q13.2		NG_007327.1		100093624	ENSG00000253492		pseudogene
HGNC:37700	CDH12P4	Approved			5q13.2		NG_007329.1		100093626	ENSG00000253900		pseudogene
HGNC:1753	CDH13	Approved		CDHH	16q23.3	U59288	NM_001257		1012	ENSG00000140945	MGI:99551	gene with protein product
HGNC:55989	CDH13-AS1	Approved		RP11-543N12.1	16q23.3				105371368	ENSG00000261410		RNA, long non-coding
HGNC:56243	CDH13-AS2	Approved			16q23.3		NR_120308		102724163	ENSG00000260228		RNA, long non-coding
HGNC:1754	CDH15	Approved	CDH3, CDH14		16q24.3	D83542	NM_004933		1013	ENSG00000129910	MGI:106672	gene with protein product
HGNC:1755	CDH16	Approved			16q22.1	AF016272	NM_004062		1014	ENSG00000166589	MGI:106671	gene with protein product
HGNC:1756	CDH17	Approved		HPT-1, cadherin	8q22.1	X83228	NM_004063		1015	ENSG00000079112	MGI:1095414	gene with protein product
HGNC:1757	CDH18	Approved		CDH14, EY-CADHERIN	5p14.3	U59325	NM_004934		1016	ENSG00000145526	MGI:1344366	gene with protein product
HGNC:53088	CDH18-AS1	Approved			5p14.3				102725105	ENSG00000249854		RNA, long non-coding
HGNC:1758	CDH19	Approved		CDH7	18q22.1	AJ007607	NM_021153		28513	ENSG00000071991	MGI:3588198	gene with protein product
HGNC:1760	CDH20	Approved		CDH7L3, Cdh7	18q21.33	AF217289	NM_031891		28316	ENSG00000101542	MGI:1346069	gene with protein product
HGNC:1761	CDH21	Symbol Withdrawn			reserved							unknown
HGNC:13251	CDH22	Approved	C20orf25	dJ998H6.1	20q13.12	AF035300	NM_021248		64405	ENSG00000149654	MGI:1341843	gene with protein product
HGNC:13733	CDH23	Approved	DFNB12, USH1D	CDHR23	10q22.1	AY010111	NM_052836		64072	ENSG00000107736	MGI:1890219	gene with protein product
HGNC:31433	CDH23-AS1	Approved	C10orf106, NCRNA00223	bA327E2.3	10q22.1				102723377	ENSG00000223817		RNA, long non-coding
HGNC:14265	CDH24	Approved		CDH11L	14q11.2	AL137477	NM_022478		64403	ENSG00000139880	MGI:1928330	gene with protein product
HGNC:14266	CDH25	Symbol Withdrawn			reserved							unknown
HGNC:15902	CDH26	Approved		VR20	20q13.33	AF169690, AK055202	NM_177980		60437	ENSG00000124215	MGI:2685856	gene with protein product
HGNC:14550	CDHR1	Approved	PCDH21	KIAA1775, CORD15, RP65	10q23.1	AB053448	NM_033100		92211	ENSG00000148600	MGI:2157782	gene with protein product
HGNC:18231	CDHR2	Approved	PCDH24	PC-LKC, FLJ20124, FLJ20383, PCLKC	5q35.2	AB047004	NM_017675		54825	ENSG00000074276	MGI:2687323	gene with protein product
HGNC:26308	CDHR3	Approved		FLJ44366, FLJ23834, CDH28	7q22.3	AK126338	NM_152750		222256	ENSG00000128536	MGI:1916014	gene with protein product
HGNC:34527	CDHR4	Approved	CDH29	VLLR9392	3p21.31		NM_001007540		389118	ENSG00000187492	MGI:1916648	gene with protein product
HGNC:7521	CDHR5	Approved	MUCDHL, MUPCDH	FLJ20219, MU-PCDH	11p15.5	AF258675	NM_021924		53841	ENSG00000099834	MGI:1919290	gene with protein product
HGNC:53741	CDHR17P	Approved			7q21.11					ENSG00000233491	MGI:5579416	pseudogene
HGNC:53742	CDHR18P	Approved			3p14.2-p14.1				100130345	ENSG00000224479	MGI:2685127	pseudogene
HGNC:26929	CDIN1	Approved	C15orf41	HH114, MGC11326, FLJ22851	15q14	BC006254	NM_032499		84529	ENSG00000186073	MGI:3026886	gene with protein product
HGNC:13234	CDIP1	Approved	C16orf5	CDIP, LITAFL	16p13.3	AF131218	NM_013399		29965	ENSG00000089486	MGI:1913876	gene with protein product
HGNC:1769	CDIPT	Approved		PIS1, PIS	16p11.2	AF014807	NM_006319	2.7.8.11	10423	ENSG00000103502	MGI:105491	gene with protein product
HGNC:48609	CDIPTOSP	Approved	CDIPT-AS1	lnc-CTHCC	16p11.2	AK131031	NR_015396		440356	ENSG00000214725	MGI:2443610	pseudogene
HGNC:1722	CDK1	Approved	CDC2	CDC28A	10q21.2	BC014563	NM_001786		983	ENSG00000170312	MGI:88351	gene with protein product
HGNC:1771	CDK2	Approved			12q13.2	M68520			1017	ENSG00000123374	MGI:104772	gene with protein product
HGNC:14002	CDK2AP1	Approved		DORC1, doc-1, DOC1, ST19, p12DOC-1	12q24.31	AB006077	NM_004642		8099	ENSG00000111328	MGI:1202069	gene with protein product
HGNC:56493	CDK2AP1P1	Approved			3q13.33				107986120	ENSG00000240774		pseudogene
HGNC:30833	CDK2AP2	Approved		DOC-1R, p14	11q13.2	AF089814	NM_005851		10263	ENSG00000167797	MGI:1098779	gene with protein product
HGNC:38492	CDK2AP2P1	Approved			9p11.2		NG_021654		100289027	ENSG00000278647		pseudogene
HGNC:38493	CDK2AP2P2	Approved			9q13					ENSG00000237451		pseudogene
HGNC:38494	CDK2AP2P3	Approved			9q13		NG_006137		401525	ENSG00000226020		pseudogene
HGNC:1772	CDK3	Approved			17q25.1	X66357	NM_001258		1018	ENSG00000250506	MGI:1916931	gene with protein product
HGNC:1773	CDK4	Approved		PSK-J3	12q14.1	M14505	NM_000075		1019	ENSG00000135446	MGI:88357	gene with protein product
HGNC:19040	CDK4P1	Approved	CDK4PS		1p21.1				359941	ENSG00000225036		pseudogene
HGNC:1774	CDK5	Approved		PSSALRE	7q36.1	X66364			1020	ENSG00000164885	MGI:101765	gene with protein product
HGNC:21261	CDK5P1	Approved	CDK5PS		8q24.13		NG_022432		392265	ENSG00000235165		pseudogene
HGNC:1775	CDK5R1	Approved		p35nck5a, Nck5a, p35	17q11.2	X80343	NM_003885		8851	ENSG00000176749	MGI:101764	gene with protein product
HGNC:1776	CDK5R2	Approved		p39nck5ai, P39, NCK5AI	2q35	U34051	NM_003936		8941	ENSG00000171450	MGI:1330828	gene with protein product
HGNC:55677	CDK5R2-AS1	Approved			2q35					ENSG00000235024		RNA, long non-coding
HGNC:15880	CDK5RAP1	Approved	C20orf34	CGI-05, HSPC167, C42	20q11.21	AF152097	NM_016408		51654	ENSG00000101391	MGI:1914221	gene with protein product
HGNC:18672	CDK5RAP2	Approved	MCPH3	C48, FLJ10867, CEP215	9q33.2	BK005504	NM_018249		55755	ENSG00000136861	MGI:2384875	gene with protein product
HGNC:18673	CDK5RAP3	Approved		MST016, FLJ13660, C53, IC53, HSF-27, OK/SW-cl.114, LZAP	17q21.32	AF110322	NM_176096		80279	ENSG00000108465	MGI:1933126	gene with protein product
HGNC:56953	CDK5RAP3P1	Approved			20q11.21		NG_005525		149935	ENSG00000224628		pseudogene
HGNC:1777	CDK6	Approved		PLSTIRE	7q21.2				1021	ENSG00000105810	MGI:1277162	gene with protein product
HGNC:40141	CDK6-AS1	Approved		BALR-2	7q21.2		NR_110086		101927497	ENSG00000237819	MGI:5595629	RNA, long non-coding
HGNC:1778	CDK7	Approved		CAK1, CDKN7, MO15, STK1, CAK	5q13.2		NM_001799		1022	ENSG00000134058	MGI:102956	gene with protein product
HGNC:18614	CDK7P1	Approved	CDK7PS		2q24.1	AC016732	NG_001572		220786	ENSG00000213194		pseudogene
HGNC:1779	CDK8	Approved		K35	13q12.13	X85753			1024	ENSG00000132964	MGI:1196224	gene with protein product
HGNC:18995	CDK8P1	Approved	CDK8PS		2p25.1		NG_023549		100419916	ENSG00000230044		pseudogene
HGNC:52296	CDK8P2	Approved			2q14.1				100287419	ENSG00000227368		pseudogene
HGNC:1780	CDK9	Approved	CDC2L4	PITALRE, C-2k, TAK	9q34.11	L25676			1025	ENSG00000136807	MGI:1328368	gene with protein product
HGNC:1770	CDK10	Approved		PISSLRE	16q24.3	L33264			8558	ENSG00000185324	MGI:2448549	gene with protein product
HGNC:1730	CDK11A	Approved	CDC2L3, CDC2L2	PITSLRE, CDK11-p110, CDK11-p58, CDK11-p46, p58GTA	1p36.33	AF067522	NM_024011		728642	ENSG00000008128		gene with protein product
HGNC:1729	CDK11B	Approved	CDC2L1	CDK11-p110, CDK11-p58, CDK11-p46	1p36.33	AK000081	NM_001787		984	ENSG00000248333	MGI:88353	gene with protein product
HGNC:24224	CDK12	Approved	CRKRS	CRK7, CRKR, KIAA0904	17q12	AF227198	NM_016507		51755	ENSG00000167258	MGI:1098802	gene with protein product
HGNC:1733	CDK13	Approved	CDC2L5	CHED, CDC2L, KIAA1791	7p14.1	M80629	NM_003718		8621	ENSG00000065883	MGI:1916812	gene with protein product
HGNC:55407	CDK13-DT	Approved			7p14.1		NR_158201		112267983	ENSG00000259826		RNA, long non-coding
HGNC:8883	CDK14	Approved	PFTK1	PFTAIRE1	7q21.13		NM_012395		5218	ENSG00000058091	MGI:894318	gene with protein product
HGNC:14434	CDK15	Approved	ALS2CR7, PFTK2	PFTAIRE2	2q33.1	AB053308			65061	ENSG00000138395	MGI:3583944	gene with protein product
HGNC:8749	CDK16	Approved	PCTK1	PCTAIRE, PCTAIRE1, PCTGAIRE, FLJ16665	Xp11.3		NM_006201		5127	ENSG00000102225	MGI:97516	gene with protein product
HGNC:8750	CDK17	Approved	PCTK2	PCTAIRE2	12q23.1		NM_002595		5128	ENSG00000059758	MGI:97517	gene with protein product
HGNC:8751	CDK18	Approved	PCTK3	PCTAIRE3	1q32.1	X66362	NM_002596		5129	ENSG00000117266	MGI:97518	gene with protein product
HGNC:19338	CDK19	Approved	CDK11, CDC2L6	KIAA1028, bA346C16.3	6q21	AL122055	NM_015076		23097	ENSG00000155111	MGI:1925584	gene with protein product
HGNC:21420	CDK20	Approved	CCRK	p42, PNQALRE	9q22.1	AF035013	NM_012119		23552	ENSG00000156345	MGI:2145349	gene with protein product
HGNC:21050	CDKAL1	Approved		FLJ20342	6p22.3	AK000349	NM_017774		54901	ENSG00000145996	MGI:1921765	gene with protein product
HGNC:1781	CDKL1	Approved		KKIALRE	14q21.3	AF390028			8814	ENSG00000100490	MGI:1918341	gene with protein product
HGNC:1782	CDKL2	Approved		P56, KKIAMRE	4q21.1	U35146	NM_003948		8999	ENSG00000138769	MGI:1858227	gene with protein product
HGNC:15483	CDKL3	Approved		NKIAMRE	5q31.1	AF130372	NM_001113575	2.7.11.22	51265	ENSG00000006837	MGI:2388268	gene with protein product
HGNC:19287	CDKL4	Approved			2p22.1		NM_001346911		344387	ENSG00000205111	MGI:3587025	gene with protein product
HGNC:11411	CDKL5	Approved	STK9	EIEE2, CFAP247	Xp22.13	Y15057	NM_003159		6792	ENSG00000008086	MGI:1278336	gene with protein product
HGNC:1783	CDKN1	Symbol Withdrawn										unknown
HGNC:1784	CDKN1A	Approved	CDKN1	P21, CIP1, WAF1, SDI1, CAP20, p21CIP1, p21Cip1/Waf1, p21	6p21.2	U03106	NM_078467		1026	ENSG00000124762	MGI:104556	gene with protein product
HGNC:42399	CDKN1A-AS1	Approved		p21NAT	6p21.1	BX332409			100861512			RNA, long non-coding
HGNC:1785	CDKN1B	Approved		KIP1, P27KIP1	12p13.1	AF480891	NM_004064		1027	ENSG00000111276	MGI:104565	gene with protein product
